indicator,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025
NY.GDP.MKTP.CD,73328356007.6152,77172331693.4093,77719468248.3666,86455522272.7383,95641446500.6523,104368755054.601,113199581158.203,
NY.GDP.MKTP.KD.ZG,3.40687348346576,4.01789785040324,-1.78555175063326,8.04170378184928,4.18451817243695,3.5331575177533,3.65186382894819,
FP.CPI.TOTL.ZG,3.75186186704508,3.69998398008605,3.21444062197345,4.26105127422813,6.88512823344287,6.20657592272126,2.86992752918294,
GC.DOD.TOTL.GD.ZS,,,,,,,,
FI.RES.TOTL.CD,12583121641.7733,14784046764.6684,18463562201.5352,20934881434.6135,20414938168.4224,21311089849.3863,24412418011.7846,
BN.CAB.XOKA.GD.ZS,0.885829296285522,2.36029015844232,5.04131108756311,2.16690668305723,1.16694204326195,3.07761123366817,2.88715534683158,
BX.TRF.PWKR.DT.GD.ZS,12.8704296861911,13.8075410269222,14.6751379764358,17.8213863093606,19.0341676606447,19.1445837880762,19.1206727962629,
PA.NUS.FCRF,7.51916458333333,7.69669833333333,7.72165,7.73438833333333,7.74824375,7.83197416666667,7.7585375,
BX.KLT.DINV.CD.WD,922397870.0,1170758860.0,1004371660.0,3626364530.0,1450072830.0,1650310370.0,1848004120.0,
SP.POP.TOTL,16845685.0,17103803.0,17357325.0,17598650.0,17847877.0,18124838.0,18406359.0,
SI.POV.NAHC,,,,,,56.0,,
SI.POV.GINI,,,,,,45.2,,
SL.UEM.TOTL.ZS,2.283,2.193,2.965,2.174,3.051,2.344,2.613,2.604
VC.IHR.PSRC.P5,28.9035441420162,25.9415998284592,18.1882859775834,20.2458705569498,22.0474401521257,23.3657267272051,,
SE.PRM.NENR,86.88631,,,,,,,
