seed,model,l1_vs_minfin,cos_vs_minfin,w_salud,w_educacion,w_seguridad,w_infraestructura,w_agro_desarrollo_rural,w_proteccion_social,w_servicio_deuda,w_justicia,w_otros
1,claude,59.1,0.790574072807617,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
1,openai,60.6,0.7674720320268361,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
2,claude,59.1,0.790574072807617,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
2,openai,61.550000000000004,0.7565191858797661,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
3,claude,58.6,0.7940400261822076,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
3,openai,61.550000000000004,0.7565191858797661,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
4,claude,58.1,0.7949598913472063,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
4,openai,60.1,0.7770005758350658,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
5,claude,58.1,0.7949598913472063,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
5,openai,61.550000000000004,0.7565191858797661,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
6,claude,58.1,0.7949598913472063,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
6,openai,60.6,0.7674720320268361,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
7,claude,60.1,0.7770005758350658,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
7,openai,60.1,0.7770005758350658,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
8,claude,59.6,0.7848012267024574,18.0,18.0,9.5,11.0,10.5,15.0,8.5,6.0,3.5
8,openai,62.800000000000004,0.7444353513289163,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0
9,claude,60.1,0.7770005758350658,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
9,openai,61.550000000000004,0.7565191858797661,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
10,claude,60.6,0.7674720320268361,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
10,openai,60.6,0.7674720320268361,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
11,claude,60.1,0.7770005758350658,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
11,openai,60.6,0.7674720320268361,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
12,claude,59.1,0.790574072807617,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
12,openai,61.550000000000004,0.7565191858797661,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
13,claude,59.1,0.790574072807617,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
13,openai,60.1,0.7770005758350658,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
14,claude,58.6,0.7940400261822076,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
14,openai,60.1,0.7770005758350658,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
15,claude,57.6,0.7931533759937122,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0
15,openai,60.6,0.7674720320268361,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
16,claude,59.1,0.790574072807617,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
16,openai,60.6,0.7674720320268361,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
17,claude,59.1,0.790574072807617,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
17,openai,60.6,0.7674720320268361,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
18,claude,60.1,0.7770005758350658,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
18,openai,60.015,0.777803065723354,19.63875,19.63875,8.76375,9.13875,10.26375,16.38875,6.63875,6.01375,3.5149999999999997
19,claude,59.6,0.7848012267024574,18.0,18.0,9.5,11.0,10.5,15.0,8.5,6.0,3.5
19,openai,59.6,0.7848012267024574,18.0,18.0,9.5,11.0,10.5,15.0,8.5,6.0,3.5
20,claude,60.1,0.7770005758350658,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
20,openai,60.6,0.7674720320268361,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
