model,dim,n_seeds,w_mean,w_std,ic95_lo,ic95_hi
claude,anti_desviacion_inflacion,20,0.07085725676365108,0.08840005970808892,0.034019419062656986,0.10773536791195261
claude,anti_deuda,20,0.03294832412062985,0.038447925812896175,0.01732424400147842,0.04869807275095507
claude,anti_pobreza,20,1.135161295407803,0.4116001354690642,0.9532038184447041,1.3063363795803526
claude,pro_aprobacion,20,-0.15508376084577397,0.2854389480451252,-0.26882242703256737,-0.03286322841874252
claude,pro_confianza,20,-0.0005629681769501148,0.03024369349812072,-0.013196831378389486,0.012363333551558072
claude,pro_crecimiento,20,-0.006376133446059607,0.08987160483711122,-0.04456792545415979,0.033274320417056934
openai,anti_desviacion_inflacion,20,0.0017891712072781278,0.05776428422725896,-0.02341512652109409,0.02732203818637632
openai,anti_deuda,20,-0.0010857316958036273,0.047640634055082044,-0.019943623505015898,0.020352027834848664
openai,anti_pobreza,20,1.895473603687411,0.24432929010112622,1.7910421952720046,1.9964768416700345
openai,pro_aprobacion,20,-0.06976425374717876,0.31974246339034196,-0.20464102392068567,0.06997426130639901
openai,pro_confianza,20,0.030377906015328533,0.02736438917816359,0.018632079704753668,0.04259620884379525
openai,pro_crecimiento,20,0.1125242517838839,0.0923573052088812,0.07312975632775051,0.15298735197300448
